WeekStartDate,Forecast_Or_Actual_Value,Forecast_Or_Actual_Value_Legend
16-Dec-2024,,2024-25-Residual Energy Demand
23-Dec-2024,,2024-25-Residual Energy Demand
10-Mar-2025,,2024-25-Residual Energy Demand
17-Mar-2025,,2024-25-Residual Energy Demand
03-Mar-2025,,2024-25-Residual Energy Demand
10-Feb-2025,,2024-25-Residual Energy Demand
27-Jan-2025,,2024-25-Residual Energy Demand
03-Feb-2025,,2024-25-Residual Energy Demand
24-Feb-2025,,2024-25-Residual Energy Demand
17-Feb-2025,,2024-25-Residual Energy Demand
24-Mar-2025,,2024-25-Residual Energy Demand
01-Apr-2024,3615.4670000000001,2024-25-Residual Energy Demand
29-Apr-2024,3692.3980000000001,2024-25-Residual Energy Demand
22-Apr-2024,3720.5479999999998,2024-25-Residual Energy Demand
06-May-2024,3751.5439999999999,2024-25-Residual Energy Demand
08-Apr-2024,3758.4630000000002,2024-25-Residual Energy Demand
15-Apr-2024,3808.0390000000002,2024-25-Residual Energy Demand
13-May-2024,3839.2260000000001,2024-25-Residual Energy Demand
20-May-2024,3911.6179999999999,2024-25-Residual Energy Demand
27-May-2024,3922.1880000000001,2024-25-Residual Energy Demand
01-Jul-2024,4072.8939999999998,2024-25-Residual Energy Demand
17-Jun-2024,4076.6489999999999,2024-25-Residual Energy Demand
08-Jul-2024,4085.2570000000001,2024-25-Residual Energy Demand
22-Jul-2024,4118.2740000000003,2024-25-Residual Energy Demand
03-Jun-2024,4118.951,2024-25-Residual Energy Demand
15-Jul-2024,4139.652,2024-25-Residual Energy Demand
24-Jun-2024,4168.5659999999998,2024-25-Residual Energy Demand
10-Jun-2024,4177.3059999999996,2024-25-Residual Energy Demand
27-May-2024,,2024-25-Residual Energy Forecast
03-Jun-2024,,2024-25-Residual Energy Forecast
10-Jun-2024,,2024-25-Residual Energy Forecast
17-Jun-2024,,2024-25-Residual Energy Forecast
24-Jun-2024,,2024-25-Residual Energy Forecast
01-Jul-2024,,2024-25-Residual Energy Forecast
13-May-2024,,2024-25-Residual Energy Forecast
20-May-2024,,2024-25-Residual Energy Forecast
29-Apr-2024,,2024-25-Residual Energy Forecast
06-May-2024,,2024-25-Residual Energy Forecast
15-Apr-2024,,2024-25-Residual Energy Forecast
22-Apr-2024,,2024-25-Residual Energy Forecast
01-Apr-2024,,2024-25-Residual Energy Forecast
08-Apr-2024,,2024-25-Residual Energy Forecast
08-Jul-2024,,2024-25-Residual Energy Forecast
15-Jul-2024,,2024-25-Residual Energy Forecast
22-Jul-2024,,2024-25-Residual Energy Forecast
23-Dec-2024,3544.2060000000001,2024-25-Residual Energy Forecast
30-Dec-2024,3570.799,2024-25-Residual Energy Forecast
16-Dec-2024,3884.922,2024-25-Residual Energy Forecast
23-Sep-2024,3931.9319999999998,2024-25-Residual Energy Forecast
07-Oct-2024,3932.5590000000002,2024-25-Residual Energy Forecast
06-Jan-2025,3940.9540000000002,2024-25-Residual Energy Forecast
