DateTimeKey,Residual Forecast,RSA Contracted Forecast,Residual Demand,RSA Contracted Demand
2024-07-30 22:00:00,,,23364.629000000001,25179
2024-07-30 23:00:00,,,21635.298999999999,23354.477999999999
2024-07-31 00:00:00,,,20867.294000000002,22489.432000000001
2024-07-31 01:00:00,,,20385.587,22030.778999999999
2024-07-31 02:00:00,,,20182.643,21792.833999999999
2024-07-31 03:00:00,,,20702.683000000001,22336.91
2024-07-31 04:00:00,,,22702.373,24283.995999999999
2024-07-31 05:00:00,,,25998.542000000001,27472.535
2024-07-31 06:00:00,,,27827.735000000001,29300.657999999999
2024-07-31 07:00:00,,,28150.880000000001,29743.786
2024-07-31 08:00:00,,,27642.422999999999,29923.48
2024-07-31 09:00:00,,,27154.239000000001,29809.483
2024-07-31 10:00:00,,,26320.405999999999,29191.189999999999
2024-07-31 11:00:00,,,25436.198,28339.327000000001
